,maxtempC,mintempC,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,humidity,pressure,tempC,visibility,winddirDegree,windspeedKmph
1221,40.0,26.0,9.25,35.333333333333336,35.333333333333336,35.833333333333336,11.833333333333334,21.291666666666668,1002.9583333333334,33.208333333333336,10.0,150.91666666666666,8.916666666666666
1222,40.0,27.0,10.708333333333334,36.5,36.5,36.833333333333336,11.208333333333334,21.666666666666668,1001.7083333333334,34.333333333333336,10.0,271.25,8.416666666666666
1223,41.0,29.0,10.291666666666666,36.583333333333336,36.583333333333336,37.041666666666664,18.625,20.541666666666668,1002.3333333333334,35.333333333333336,10.0,306.2083333333333,13.666666666666666
1224,42.0,29.0,10.041666666666666,40.208333333333336,40.208333333333336,39.791666666666664,10.083333333333334,18.041666666666668,1003.2083333333334,35.458333333333336,10.0,286.0,8.416666666666666
1225,43.0,29.0,9.375,38.916666666666664,38.916666666666664,38.666666666666664,10.333333333333334,17.75,1003.625,36.208333333333336,10.0,237.75,7.125
1226,41.0,29.0,11.541666666666666,37.333333333333336,37.333333333333336,37.375,8.625,22.541666666666668,1002.5833333333334,35.083333333333336,10.0,227.91666666666666,6.708333333333333
1227,39.0,28.0,11.916666666666666,36.0,36.0,36.333333333333336,6.75,24.333333333333332,1001.3333333333334,34.041666666666664,10.0,258.8333333333333,5.25
1228,40.0,28.0,8.75,36.916666666666664,36.916666666666664,37.416666666666664,10.458333333333334,18.5,1001.5,34.791666666666664,10.0,269.0,8.875
1229,40.0,28.0,7.541666666666667,35.333333333333336,35.333333333333336,36.541666666666664,16.583333333333332,17.458333333333332,1001.4583333333334,33.958333333333336,10.0,301.1666666666667,13.583333333333334
1230,41.0,26.0,7.208333333333333,38.375,38.375,38.625,9.666666666666666,15.583333333333334,1002.125,34.291666666666664,10.0,241.16666666666666,8.208333333333334
1231,43.0,28.0,7.833333333333333,39.125,39.125,39.041666666666664,15.5,15.875,998.4583333333334,36.333333333333336,10.0,253.41666666666666,12.375
1232,41.0,29.0,9.791666666666666,37.666666666666664,37.666666666666664,38.083333333333336,12.041666666666666,18.458333333333332,998.8333333333334,36.0,10.0,284.875,9.041666666666666
1233,42.0,29.0,8.625,37.333333333333336,37.333333333333336,37.791666666666664,16.0,17.791666666666668,1001.0833333333334,36.291666666666664,9.875,305.75,12.0
1234,42.0,29.0,4.833333333333333,39.208333333333336,39.208333333333336,39.291666666666664,15.083333333333334,13.0,1001.9583333333334,36.0,10.0,304.25,12.166666666666666
1235,42.0,28.0,5.708333333333333,39.958333333333336,39.958333333333336,39.5,11.541666666666666,13.041666666666666,1001.3333333333334,36.041666666666664,10.0,261.2916666666667,9.25
1236,42.0,28.0,5.291666666666667,40.75,40.75,40.208333333333336,11.041666666666666,12.958333333333334,1000.5833333333334,36.0,10.0,213.41666666666666,8.958333333333334
1237,42.0,28.0,6.583333333333333,39.666666666666664,39.666666666666664,39.5,12.166666666666666,13.833333333333334,1000.0833333333334,36.208333333333336,10.0,267.1666666666667,9.333333333333334
1238,42.0,28.0,3.4583333333333335,40.416666666666664,40.416666666666664,40.291666666666664,12.625,11.166666666666666,1000.0416666666666,35.833333333333336,10.0,276.7083333333333,10.333333333333334
1239,43.0,29.0,2.125,40.125,40.125,39.916666666666664,16.458333333333332,10.166666666666666,997.75,36.75,10.0,317.1666666666667,13.458333333333334
1240,45.0,29.0,5.75,44.208333333333336,44.208333333333336,42.333333333333336,11.541666666666666,11.458333333333334,996.25,38.0,10.0,292.9583333333333,9.208333333333334
1241,44.0,33.0,5.458333333333333,41.375,41.375,40.833333333333336,19.75,12.416666666666666,997.875,38.416666666666664,10.0,278.0416666666667,16.083333333333332
1242,42.0,31.0,4.791666666666667,40.75,40.75,40.208333333333336,15.083333333333334,12.083333333333334,998.75,37.083333333333336,10.0,298.0416666666667,12.708333333333334
1243,43.0,29.0,6.791666666666667,41.416666666666664,41.416666666666664,40.75,12.25,13.208333333333334,998.75,36.541666666666664,10.0,307.9583333333333,10.416666666666666
1244,44.0,29.0,4.625,43.5,43.5,42.125,11.416666666666666,11.416666666666666,998.5416666666666,37.708333333333336,10.0,269.4583333333333,9.458333333333334
1245,45.0,31.0,3.5416666666666665,43.708333333333336,43.708333333333336,42.208333333333336,16.583333333333332,10.083333333333334,995.5833333333334,38.833333333333336,10.0,285.8333333333333,13.333333333333334
1246,46.0,31.0,5.916666666666667,45.75,45.75,43.5,16.458333333333332,10.958333333333334,993.75,39.875,10.0,276.625,12.916666666666666
1247,46.0,33.0,11.291666666666666,45.25,45.25,43.25,16.0,15.75,994.7083333333334,40.208333333333336,10.0,288.875,13.375
1248,45.0,33.0,12.833333333333334,44.416666666666664,44.416666666666664,42.458333333333336,17.333333333333332,18.166666666666668,994.125,39.791666666666664,10.0,280.6666666666667,14.75
1249,44.0,33.0,10.25,42.458333333333336,42.458333333333336,41.25,16.5,16.666666666666668,992.875,39.208333333333336,10.0,271.75,13.458333333333334
1250,44.0,33.0,13.25,41.208333333333336,41.208333333333336,40.083333333333336,14.583333333333334,21.958333333333332,993.9166666666666,38.25,10.0,248.08333333333334,12.0
