AT,PM2.5,RH,WS,CO,NO2,Ozone,SO2,AQI
30,86.23,46.42,0.59,2.354661,115.14,24.69,21.22,187.4333333
29.55,95.2,44.31,0.52,2.354661,113.36,29.87,21.02,217.3333333
30.01,151.45,43.99,0.46,3.84,124.28,56.9,21.09,324.1923077
29.92,104.92,46.29,1.33,2.78,79.18,62.41,20.84,249.7333333
30.63,98.44,49.48,1.64,3.45,84.33,45.49,21.11,228.1333333
26.63,70.32,54.1,2.02,1.95,54.17,41.81,20.55,134.4
26.46,78.92,44.04,0.45,2.19,96.5,25.05,20.31,163.0666667
26.63,200.07,45.57,0.62,2.52,129.1,15.99,20.93,361.5923077
27.09,101.62,42.74,0.68,2.75,139.39,14.08,21,238.7333333
27.58,137.74,44.17,0.45,2.78,144.4,18.26,20.56,313.6461538
28.22,178.92,45.95,0.51,3.58,145.14,52.26,18.47,345.3230769
28.68,171.62,42.36,0.53,3.45,137.41,40.74,25.16,339.7076923
27.74,169.46,47.72,0.81,3.64,112.49,66.51,21.03,338.0461538
27.47,173.17,46.56,0.4,3.09,130.39,37.26,20.06,340.9
27.49,213.25,37.51,0.38,2.76,117.31,27.38,21.07,371.7307692
26.46,175.7,37.75,0.57,2.94,114.1,26.06,20.56,342.8461538
25.47,147.14,41.08,0.76,3.12,126.3,21.13,21.2,320.8769231
26.18,162.53,40.42,0.41,3.45,136.49,26.2,22.96,332.7153846
26,217.26,44.82,0.37,3.36,164.23,66.94,21.93,374.8153846
25.24,210.05,47.12,0.46,2.85,161.28,70.84,27.85,369.2692308
24.8,282.55,48.01,0.34,3.71,174,33.43,27.29,425.0384615
24.94,266.7,51.84,0.38,5.2,199.29,24.99,26.3,412.8461538
25.13,263.84,52.31,0.55,3.91,157.53,19.42,14.93,410.6461538
24.96,312.94,53.28,0.41,5.75,192.36,22.9,16.2,448.4153846
24.71,357.19,55.05,0.4,5.18,212.78,22.62,16.45,482.4538462
24.63,256.26,54.56,0.4,4.26,144.07,23.39,8.69,404.8153846
24.57,312,54.22,0.57,4.55,157.74,19.11,17.93,447.6923077
25.19,215.47,48.53,0.96,2.19,127.14,26.43,9.74,373.4384615
24.94,165.14,51.11,1.96,2.28,82.8,21.13,13.09,334.7230769
23.76,112.71,49.45,1.88,2.06,79.34,20.83,20.84,275.7
21.77,463.68,55.88,0.68,3.73,126.6,9.63,21.34,564.3692308
22.62,202.62,36.16,1.14,2.14,112.36,13.74,18.66,363.5538462
21.56,238.31,34.67,0.6,3.25,127.31,18.92,19.62,391.0076923
20.3,503.94,48.8,0.33,4.72,189.67,14.02,24.93,595.3384615
21.55,443,50.03,0.32,5.07,253.33,14.93,20.35,548.4615385
21.24,376.11,54.24,0.5,4.86,275.68,21.21,19.53,497.0076923
22.58,345.6,52.34,0.43,4.5,233.31,18.76,20.31,473.5384615
22.57,358.78,56.97,0.53,4.42,174.2,16.75,31.8,483.6769231
